wall,step,seg,time_left_s,x,y,z,vx,vy,vz,on_floor,fwd,back,left,right,jump,brake,oob,reward,done,outcome,goal_d
1.9,153686,0,293.75,-21.87,11.87,0.56,-6.56,5.11,0.00,1,0.17,0.00,0.84,0.00,0,0,0,-0.02,0,,9.5
1.9,153687,0,293.69,-22.30,12.19,0.56,-6.99,5.11,0.00,1,0.09,0.00,0.92,0.00,0,0,0,1.39,0,,8.1
1.9,153688,0,293.62,-22.77,12.53,0.56,-7.14,5.42,0.00,1,0.86,0.00,0.27,0.00,0,0,0,-0.02,0,,8.1
1.9,153689,0,293.56,-23.22,12.88,0.56,-7.17,5.21,0.00,1,0.00,0.76,0.53,0.00,0,0,0,0.98,0,,7.1
1.9,153690,0,293.50,-23.67,13.18,0.56,-7.34,4.40,0.00,1,0.00,0.43,0.77,0.00,0,0,0,0.39,0,,6.7
2.0,153691,0,293.43,-24.17,13.45,0.56,-7.68,4.01,0.00,1,0.22,0.00,0.86,0.00,0,0,0,0.98,0,,5.7
2.0,153692,0,293.37,-24.66,13.69,0.56,-7.84,3.38,0.00,1,0.00,0.68,0.62,0.00,0,0,0,-0.02,0,,5.7
2.0,153693,0,293.31,-25.16,13.88,0.56,-7.90,3.17,0.00,1,0.91,0.00,0.08,0.00,0,0,0,0.39,0,,5.2
2.0,153694,0,293.24,-25.68,14.09,0.56,-8.13,3.06,0.00,1,0.00,0.20,0.86,0.00,0,0,0,-0.02,0,,5.2
2.0,153695,0,293.18,-26.21,14.28,0.56,-8.46,2.76,0.00,1,0.03,0.00,0.90,0.00,0,0,0,1.39,0,,3.8
2.1,153696,0,293.12,-26.75,14.44,0.56,-8.78,2.69,0.00,1,0.26,0.00,0.86,0.00,0,0,0,-0.02,0,,3.8
2.1,153697,0,293.05,-27.34,14.62,0.56,-9.11,2.62,0.00,1,0.00,0.00,0.94,0.00,0,0,0,0.39,0,,3.4
2.1,153698,0,292.99,-27.92,14.79,0.56,-9.30,2.82,0.00,1,0.93,0.00,0.04,0.00,0,0,0,-0.02,0,,3.4
2.1,153699,0,292.92,-28.51,14.98,0.56,-9.30,3.32,0.00,1,0.74,0.00,0.44,0.00,0,0,0,0.39,0,,3.0
2.2,153700,0,292.86,-29.11,15.21,0.56,-8.68,3.63,0.00,1,0.59,0.00,0.00,0.67,0,0,0,0.98,0,,2.0
2.2,153701,0,292.79,-29.63,15.44,0.56,-7.82,3.53,0.00,1,0.00,0.08,0.00,0.86,0,0,0,-0.43,0,,2.4
2.2,153702,0,292.73,-30.09,15.66,0.56,-6.95,3.34,0.00,1,0.06,0.00,0.00,0.89,0,0,0,-0.02,0,,2.4
2.2,153703,0,292.67,-30.52,15.88,0.56,-6.11,3.63,0.00,1,0.81,0.00,0.00,0.42,0,0,0,-0.43,0,,2.8
2.2,153704,0,292.60,-30.88,16.13,0.56,-5.33,4.03,0.00,1,0.64,0.00,0.00,0.66,0,0,0,0.39,0,,2.4
2.3,153705,0,292.54,-31.19,16.39,0.56,-4.48,4.31,0.00,1,0.62,0.00,0.00,0.65,0,0,0,-1.02,0,,3.4
