step,seg,time_left_s,x,y,z,vx,vy,vz,on_floor,fwd,back,left,right,jump,brake,oob,reward,done,outcome,goal_d
126,0,291.07,3.62,-5.94,0.78,0.98,-1.64,6.86,1,0.73,0.00,0.57,0.00,1,0,0,-0.43,0,,41.9
127,0,291.00,3.67,-6.04,1.17,0.76,-1.72,5.60,0,0.00,0.57,0.69,0.00,0,0,0,-0.12,0,,41.9
128,0,290.94,3.72,-6.16,1.49,0.79,-1.96,4.28,0,0.00,0.77,0.00,0.54,0,0,0,-0.12,0,,41.9
129,0,290.87,3.78,-6.29,1.72,0.98,-2.18,3.02,0,0.00,0.51,0.00,0.71,1,0,0,-0.12,0,,41.9
130,0,290.81,3.84,-6.43,1.87,1.04,-2.17,1.76,0,0.91,0.00,0.41,0.00,0,1,0,-0.12,0,,41.9
131,0,290.75,3.91,-6.57,1.94,0.94,-1.88,0.44,0,0.89,0.00,0.12,0.00,0,0,0,-1.12,0,,42.9
132,0,290.68,3.97,-6.68,1.93,0.99,-1.62,-0.82,0,0.83,0.00,0.00,0.30,0,0,0,-0.12,0,,42.9
133,0,290.62,4.03,-6.77,1.83,1.14,-1.49,-2.08,0,0.00,0.11,0.00,0.87,0,0,0,-0.12,0,,42.9
134,0,290.55,4.12,-6.87,1.65,1.41,-1.51,-3.40,0,0.00,0.05,0.00,0.86,1,0,0,-0.12,0,,42.9
135,0,290.49,4.21,-6.96,1.39,1.62,-1.39,-4.66,0,0.57,0.00,0.00,0.66,1,0,0,-0.53,0,,43.4
136,0,290.43,4.32,-7.05,1.06,1.73,-1.41,-5.92,0,0.00,0.85,0.02,0.00,0,0,0,-0.12,0,,43.4
137,0,290.36,4.43,-7.15,0.62,1.60,-1.65,-7.24,0,0.00,0.52,0.71,0.00,1,0,0,-0.12,0,,43.4
138,0,290.30,4.55,-7.21,0.95,1.86,-0.81,6.38,0,0.78,0.00,0.00,0.33,0,0,0,-0.12,0,,43.4
139,0,290.24,4.66,-7.26,1.31,1.81,-0.63,5.12,0,0.36,0.00,0.77,0.00,1,0,0,-0.12,0,,43.4
140,0,290.17,4.78,-7.30,1.60,1.61,-0.77,3.80,0,0.00,0.73,0.44,0.00,1,0,0,-0.12,0,,43.4
141,0,290.11,4.87,-7.36,1.80,1.40,-0.96,2.54,0,0.00,0.39,0.79,0.00,1,0,0,-0.12,0,,43.4
142,0,290.04,4.95,-7.42,1.91,1.15,-0.98,1.28,0,0.44,0.00,0.75,0.00,0,0,0,-1.12,0,,44.4
