update,total_steps,episodes,avg_reward,policy_loss,value_loss,entropy
14324,29335552,1553,14677.6893,0.000422,1.888997,0.650102
14325,29337600,1553,14677.6893,-0.000662,1.234521,0.650114
14326,29339648,1553,14677.6893,0.000697,1.315336,0.650082
14327,29341696,1554,14686.6426,-0.005503,1.194670,0.649709
14328,29343744,1554,14686.6426,-0.001470,1.390227,0.649063
14329,29345792,1554,14686.6426,0.001859,1.536057,0.648817
14330,29347840,1554,14686.6426,-0.001820,1.092378,0.648682
14331,29349888,1554,14686.6426,-0.002123,0.785953,0.648775
14332,29351936,1554,14686.6426,-0.002912,0.726646,0.648948
14333,29353984,1554,14686.6426,-0.003128,0.820284,0.649108
14334,29356032,1554,14686.6426,-0.000570,0.784534,0.649316
14335,29358080,1554,14686.6426,-0.001433,0.707300,0.649556
14336,29360128,1555,14689.0282,0.000459,1.815017,0.649666
14337,29362176,1555,14689.0282,-0.002401,0.729318,0.649741
14338,29364224,1555,14689.0282,-0.002707,0.961269,0.649760
14339,29366272,1555,14689.0282,-0.001266,0.820287,0.649901
14340,29368320,1555,14689.0282,-0.004254,1.205339,0.649571
14341,29370368,1555,14689.0282,-0.000676,1.586883,0.649450
14342,29372416,1555,14689.0282,-0.003231,1.174707,0.649136
14343,29374464,1555,14689.0282,-0.000517,1.341816,0.648943
14344,29376512,1555,14689.0282,0.000148,0.962111,0.648933
14345,29378560,1556,14694.1813,-0.000525,1.246483,0.648629
14346,29380608,1556,14694.1813,0.000172,1.454098,0.648717
14347,29382656,1556,14694.1813,-0.001741,1.005363,0.649107
14348,29384704,1556,14694.1813,-0.002021,1.592846,0.649783
14349,29386752,1556,14694.1813,-0.000603,1.448009,0.649901
14350,29388800,1556,14694.1813,0.000352,1.051015,0.650066
14351,29390848,1556,14694.1813,0.000787,0.905627,0.650017
14352,29392896,1556,14694.1813,-0.002793,0.743517,0.650101
14353,29394944,1556,14694.1813,-0.000383,1.105669,0.650231
14354,29396992,1557,14693.8244,-0.003313,0.968028,0.650432
14355,29399040,1557,14693.8244,-0.002075,1.458242,0.650988
14356,29401088,1557,14693.8244,-0.001668,1.402461,0.651371
14357,29403136,1557,14693.8244,-0.003797,1.826508,0.651551
14358,29405184,1557,14693.8244,-0.000768,1.033615,0.651747
14359,29407232,1557,14693.8244,-0.004512,1.289617,0.651607
14360,29409280,1557,14693.8244,-0.003458,0.869388,0.651603
14361,29411328,1557,14693.8244,-0.004532,1.434385,0.651693
14362,29413376,1557,14693.8244,-0.002859,1.331816,0.651492
14363,29415424,1557,14693.8244,-0.002771,1.510912,0.651699
14364,29417472,1558,14693.0622,-0.002518,1.023617,0.652051
14365,29419520,1558,14693.0622,-0.001953,0.830932,0.652390
14366,29421568,1558,14693.0622,-0.004187,2.376589,0.652848
14367,29423616,1558,14693.0622,-0.001782,0.802234,0.652573
14368,29425664,1558,14693.0622,-0.002142,0.899661,0.652472
14369,29427712,1558,14693.0622,-0.001474,1.601779,0.652352
14370,29429760,1558,14693.0622,-0.004983,1.011943,0.652100
14371,29431808,1558,14693.0622,-0.000558,1.022347,0.651913
14372,29433856,1558,14693.0622,-0.000962,1.818421,0.652173
14373,29435904,1559,14674.1999,-0.000000,1.125879,0.652915
14374,29437952,1559,14674.1999,-0.005267,0.934973,0.653138
14375,29440000,1559,14674.1999,0.000288,0.916390,0.652669
14376,29442048,1559,14674.1999,-0.001146,1.351272,0.652504
14377,29444096,1559,14674.1999,-0.002280,0.858664,0.652549
14378,29446144,1559,14674.1999,-0.002629,1.058459,0.652490
14379,29448192,1559,14674.1999,-0.001258,1.190824,0.652538
14380,29450240,1559,14674.1999,-0.000667,1.177361,0.652628
14381,29452288,1559,14674.1999,-0.003401,1.398547,0.652532
14382,29454336,1560,14673.0655,-0.000697,1.119259,0.652131
14383,29456384,1560,14673.0655,0.003538,1.110568,0.651937
14384,29458432,1560,14673.0655,0.000380,1.453043,0.651463
