update,total_steps,episodes,avg_reward,policy_loss,value_loss,entropy
83672,190598079,12034,15882.2723,-0.006939,0.019337,0.496313
83673,190606270,12035,15848.7530,-0.004963,0.021705,0.496528
83674,190614460,12036,15806.9289,-0.003155,0.055262,0.496906
83675,190622652,12036,15806.9289,-0.005995,0.023255,0.496889
83676,190630843,12037,15798.3872,-0.006303,0.021996,0.496626
83677,190639033,12038,15791.3033,-0.004194,0.020631,0.496656
83678,190647225,12038,15791.3033,-0.005137,0.019172,0.496756
83679,190655415,12039,15765.5696,-0.003563,0.026492,0.496927
83680,190663606,12040,15760.6274,-0.005399,0.016135,0.497107
83681,190671797,12041,15750.8119,-0.006929,0.016626,0.497309
83682,190679989,12041,15750.8119,-0.002801,0.038857,0.497404
83683,190688179,12042,15705.0144,-0.002894,0.042076,0.497119
83684,190696370,12043,15695.5118,-0.003802,0.022163,0.496798
83685,190704561,12044,15625.2901,-0.001711,0.075097,0.496587
83686,190712753,12044,15625.2901,-0.006337,0.015873,0.496162
83687,190720944,12045,15609.4673,-0.004403,0.014122,0.495753
83688,190729134,12046,15617.9946,-0.006514,0.021026,0.495550
83689,190737326,12046,15617.9946,-0.003924,0.016303,0.495390
83690,190745517,12047,15609.7001,-0.004364,0.013583,0.495420
83691,190753708,12048,15611.6011,-0.005959,0.012481,0.495471
83692,190761899,12049,15593.3179,-0.004811,0.007394,0.495469
83693,190770091,12049,15593.3179,-0.006475,0.014709,0.495632
83694,190778282,12050,15597.4967,-0.002192,0.016741,0.495614
83695,190786472,12051,15531.3049,-0.000887,0.023329,0.495540
83696,190794664,12051,15531.3049,-0.003356,0.014190,0.495285
83697,190802855,12052,15557.1879,-0.004400,0.017707,0.495269
83698,190811045,12053,15577.7850,-0.006152,0.019064,0.495139
83699,190819235,12054,15550.6341,-0.003329,0.021540,0.494863
83700,190827427,12054,15550.6341,-0.004771,0.012789,0.494843
83701,190835617,12055,15558.9310,-0.007090,0.018401,0.494893
83702,190843808,12056,15531.4392,-0.002873,0.016738,0.495200
83703,190852000,12056,15531.4392,-0.004646,0.017601,0.495397
83704,190860191,12057,15490.7240,-0.002280,0.020642,0.495644
83705,190868381,12058,15477.5383,-0.002950,0.016405,0.495798
83706,190876572,12059,15430.5718,-0.002857,0.020336,0.495898
83707,190884764,12059,15430.5718,-0.004554,0.009207,0.496230
83708,190892955,12060,15492.7692,-0.002097,0.014387,0.496872
83709,190901145,12061,15490.7541,-0.007434,0.024294,0.497577
83710,190909336,12062,15455.1310,-0.000167,0.021393,0.497983
83711,190917528,12062,15455.1310,-0.001074,0.016078,0.498055
83712,190925719,12063,15435.1958,-0.000974,0.024532,0.498060
83713,190933910,12064,15452.2193,-0.003776,0.019658,0.497974
83714,190942102,12064,15452.2193,-0.007093,0.019463,0.497869
83715,190950293,12065,15466.7162,-0.005165,0.010978,0.498073
83716,190958484,12066,15499.1581,-0.005505,0.014884,0.498026
83717,190966675,12067,15534.4517,-0.004860,0.011620,0.497916
83718,190974867,12067,15534.4517,-0.002525,0.019854,0.497995
83719,190983057,12068,15522.1316,-0.003666,0.020801,0.498003
83720,190991247,12069,15513.3815,-0.007562,0.014071,0.498180
83721,190999439,12069,15513.3815,-0.002631,0.014246,0.498089
83722,191007629,12070,15519.6856,-0.002996,0.017108,0.498218
