tick,x,y,z,vx,vy,vz,gem_dist,gem_dx,gem_dy,dx,dy,throttle,jump,brake
409,-25.355,26.418,20.840,-0.702,4.341,0,12.169,12.155,0.582,0.718,-0.669,0.930,0.000,0.000
413,-25.377,26.684,20.840,-0.069,3.680,0,12.181,12.177,0.316,0.992,0.520,0.941,0.000,0.000
417,-25.360,26.906,20.840,0.608,3.563,0,12.161,12.160,0.094,0.623,-0.695,0.935,0.000,0.000
421,-25.302,27.118,20.840,1.108,3.030,0,12.104,12.102,-0.118,0.983,-0.604,0.946,0.000,0.000
425,-25.210,27.292,20.840,1.685,2.312,0,12.015,12.011,-0.292,0.787,-0.124,0.936,0.000,0.000
429,-25.083,27.422,20.840,2.353,1.919,0,11.891,11.883,-0.422,0.534,-0.476,0.929,0.000,0.000
433,-24.916,27.527,20.840,2.887,1.340,0,11.728,11.716,-0.527,0.909,-0.223,0.912,0.000,0.000
437,-24.706,27.597,20.840,3.486,0.903,0,11.522,11.505,-0.597,1.416,-0.776,0.948,0.000,0.000
441,-24.467,27.640,20.840,4.034,0.453,0,11.286,11.267,-0.640,0.923,-0.456,0.923,0.000,0.000
445,-24.196,27.654,20.840,4.533,0.008,0,11.017,10.996,-0.654,1.355,-0.165,0.931,0.000,0.000
449,-23.879,27.645,20.840,5.064,-0.206,0,10.699,10.679,-0.645,1.658,0.321,0.930,0.000,0.000
453,-23.544,27.632,20.840,5.557,-0.143,0,10.364,10.344,-0.632,0.791,0.546,0.907,0.000,0.000
457,-23.181,27.633,20.840,5.896,0.229,0,10.002,9.981,-0.633,1.399,0.148,0.912,0.000,0.000
461,-22.779,27.658,20.840,6.302,0.404,0,9.602,9.579,-0.658,0.360,0.015,0.913,0.000,0.000
465,-22.368,27.683,20.840,6.719,0.396,0,9.194,9.168,-0.683,1.158,0.180,0.930,0.000,0.000
469,-21.931,27.709,20.840,7.111,0.454,0,8.761,8.731,-0.709,1.740,0.027,0.928,0.000,0.000
473,-21.449,27.741,20.840,7.496,0.462,0,8.283,8.249,-0.740,0.774,-0.365,0.916,0.000,0.000
477,-20.966,27.762,20.840,7.799,0.145,0,7.804,7.766,-0.762,1.631,0.013,0.942,0.000,0.000
481,-20.463,27.764,20.840,8.150,0.024,0,7.305,7.263,-0.764,1.134,0.173,0.936,0.000,0.000
485,-19.913,27.768,20.840,8.487,0.105,0,6.758,6.713,-0.768,0.769,0.421,0.926,0.000,0.000
489,-19.371,27.783,20.840,8.688,0.420,0,6.222,6.171,-0.783,1.359,0.267,0.927,0.000,0.000
493,-18.843,27.815,20.840,8.915,0.585,0,5.704,5.643,-0.815,0.267,0.308,0.922,0.000,0.000
497,-18.222,27.868,20.840,9.015,1.043,0,5.099,5.022,-0.868,0.934,-0.327,0.931,0.000,0.000
501,-17.650,27.936,20.840,9.196,0.949,0,4.550,4.450,-0.936,1.093,-0.593,0.930,0.000,0.000
505,-17.064,27.982,20.840,9.395,0.480,0,3.989,3.864,-0.982,1.308,-0.614,0.944,0.000,0.000
509,-16.437,27.996,20.840,9.573,0.008,0,3.390,3.237,-0.996,-1.057,-1.169,0.958,0.000,0.000
513,-15.845,27.983,20.840,9.061,-0.421,0,2.825,2.645,-0.983,0.007,-0.722,0.964,0.000,0.000
517,-15.295,27.936,20.840,8.503,-1.093,0,2.299,2.095,-0.936,-0.562,-0.762,0.961,0.000,0.000
521,-14.755,27.841,20.840,7.801,-1.682,0,1.774,1.556,-0.841,-0.120,-0.656,0.964,0.000,0.000
525,-14.286,27.716,20.840,7.186,-2.318,0,1.308,1.086,-0.716,-0.240,-0.397,0.965,0.000,0.000
