update,total_steps,episodes,avg_reward,policy_loss,value_loss,entropy
144,73728,8,-24.8446,-0.003038,0.000160,2.190387
145,74240,8,-24.8446,-0.002557,0.000453,2.191946
146,74752,8,-24.8446,-0.002989,0.000202,2.187751
147,75264,8,-24.8446,-0.005268,0.000043,2.182918
148,75776,8,-24.8446,0.001816,0.000073,2.181999
149,76288,8,-24.8446,-0.001918,0.000020,2.189903
150,76800,8,-24.8446,-0.002960,0.000010,2.191793
151,77312,8,-24.8446,-0.002117,0.000004,2.192047
152,77824,8,-24.8446,-0.001196,0.000005,2.190098
153,78336,8,-24.8446,-0.002809,0.000007,2.184106
154,78848,8,-24.8446,-0.002197,0.000007,2.170839
155,79360,8,-24.8446,-0.006670,0.000046,2.151086
156,79872,8,-24.8446,-0.001965,0.000351,2.132522
157,80384,8,-24.8446,-0.000668,0.014999,2.141886
158,80896,8,-24.8446,-0.000489,0.000230,2.147078
159,81408,8,-24.8446,-0.003899,0.111408,2.164107
160,81920,8,-24.8446,-0.000962,0.038598,2.174667
161,82432,8,-24.8446,-0.001426,0.000217,2.185614
162,82944,9,-27.9223,-0.000518,0.027151,2.187578
163,83456,9,-27.9223,-0.001884,0.000208,2.185579
164,83968,9,-27.9223,-0.000422,0.000085,2.180809
165,84480,9,-27.9223,-0.000305,0.000175,2.176746
166,84992,9,-27.9223,-0.000998,0.022125,2.175558
167,85504,9,-27.9223,-0.003251,0.000199,2.175021
168,86016,9,-27.9223,-0.001486,0.000695,2.168978
169,86528,9,-27.9223,-0.003156,0.013257,2.160243
170,87040,9,-27.9223,-0.001019,0.000167,2.139479
171,87552,9,-27.9223,-0.002563,0.000672,2.091820
172,88064,9,-27.9223,-0.006109,0.008965,2.031521
173,88576,9,-27.9223,-0.001094,0.000380,2.038627
174,89088,9,-27.9223,-0.006839,0.103280,1.958513
175,89600,10,-37.6341,-0.004686,0.002273,2.057172
176,90112,10,-37.6341,-0.006049,0.009391,2.116684
177,90624,10,-37.6341,-0.000697,0.001441,2.145648
178,91136,10,-37.6341,-0.000956,0.066872,2.143495
179,91648,10,-37.6341,-0.000803,0.007615,2.149575
180,92160,10,-37.6341,-0.001080,0.000075,2.146143
181,92672,10,-37.6341,-0.001272,0.009298,2.131311
182,93184,10,-37.6341,-0.000393,0.000414,2.127044
183,93696,10,-37.6341,0.000106,0.048312,2.133129
184,94208,10,-37.6341,-0.001187,0.000130,2.147100
185,94720,10,-37.6341,-0.001521,0.000056,2.167427
186,95232,10,-37.6341,-0.000651,0.000034,2.182499
187,95744,10,-37.6341,-0.000195,0.000285,2.183152
188,96256,10,-37.6341,-0.000386,0.008082,2.175676
189,96768,10,-37.6341,-0.000215,0.000095,2.179175
190,97280,10,-37.6341,-0.000054,0.000176,2.184946
191,97792,10,-37.6341,-0.001372,0.000303,2.188527
192,98304,10,-37.6341,-0.001398,0.000569,2.191443
193,98816,10,-37.6341,-0.000026,0.008892,2.188112
194,99328,10,-37.6341,-0.001525,0.000076,2.187568
195,99840,10,-37.6341,-0.000722,0.000045,2.190459
196,100352,10,-37.6341,-0.001807,0.000108,2.193008
197,100864,10,-37.6341,-0.002888,0.000119,2.188584
198,101376,11,-47.8266,-0.006587,0.000075,2.179232
199,101888,11,-47.8266,-0.003728,0.000029,2.157392
200,102400,11,-47.8266,-0.000528,0.000062,2.168237
201,102912,11,-47.8266,-0.002731,0.000027,2.186083
202,103424,11,-47.8266,-0.006694,0.000006,2.191747
203,103936,11,-47.8266,-0.004214,0.000021,2.184333
204,104448,11,-47.8266,-0.002997,0.000019,2.176340
205,104960,11,-47.8266,-0.001011,0.000029,2.170555
206,105472,11,-47.8266,-0.001859,0.000019,2.179442
207,105984,11,-47.8266,-0.003228,0.000012,2.183774
208,106496,11,-47.8266,-0.003766,0.000018,2.176785
209,107008,11,-47.8266,0.001228,0.000075,2.172440
210,107520,11,-47.8266,-0.004279,0.000029,2.178729
211,108032,11,-47.8266,-0.003966,0.000013,2.184240
212,108544,12,-43.9718,-0.003153,0.000020,2.184700
213,109056,12,-43.9718,-0.001653,0.000012,2.175416
214,109568,12,-43.9718,-0.009646,0.000089,2.148175
215,110080,12,-43.9718,0.000059,0.000317,2.141938
216,110592,12,-43.9718,-0.005659,0.000046,2.169857
217,111104,12,-43.9718,-0.008641,0.009235,2.163839
218,111616,12,-43.9718,-0.000031,0.000128,2.113750
219,112128,12,-43.9718,-0.000575,0.053761,2.130048
220,112640,12,-43.9718,-0.003240,0.001713,2.096897
221,113152,12,-43.9718,-0.001413,0.000040,2.079866
222,113664,12,-43.9718,-0.004385,0.000314,2.063639
223,114176,12,-43.9718,-0.008067,0.000101,2.034230
224,114688,12,-43.9718,-0.001537,0.009925,1.987390
225,115200,12,-43.9718,-0.005171,0.037942,2.008262
226,115712,12,-43.9718,-0.001992,0.006143,2.010926
227,116224,12,-43.9718,-0.002965,0.012475,2.061699
228,116736,12,-43.9718,-0.000917,0.000250,2.068421
229,117248,12,-43.9718,-0.000689,0.012155,2.127852
230,117760,12,-43.9718,-0.003232,0.034611,2.087787
231,118272,12,-43.9718,-0.000671,0.000162,2.167684
232,118784,12,-43.9718,-0.004994,0.008543,2.149002
233,119296,12,-43.9718,-0.005886,0.000356,2.180734
234,119808,12,-43.9718,-0.002027,0.000132,2.185361
235,120320,13,-54.2463,-0.005549,0.000062,2.189854
236,120832,13,-54.2463,0.000336,0.000013,2.188724
237,121344,13,-54.2463,-0.006963,0.000004,2.187253
238,121856,13,-54.2463,-0.004946,0.000018,2.174545
239,122368,13,-54.2463,-0.000243,0.000077,2.183311
240,122880,13,-54.2463,-0.002202,0.000019,2.181226
241,123392,13,-54.2463,-0.004214,0.000012,2.181163
242,123904,13,-54.2463,0.000364,0.000022,2.162379
243,124416,13,-54.2463,-0.005031,0.000035,2.170211
244,124928,13,-54.2463,-0.009096,0.000013,2.171475
245,125440,13,-54.2463,-0.006545,0.000081,2.141808
246,125952,13,-54.2463,-0.002142,0.000159,2.125930
247,126464,13,-54.2463,-0.001631,0.000454,2.124061
248,126976,13,-54.2463,-0.000300,0.007295,2.059009
249,127488,14,-52.3521,-0.000873,0.040442,2.081540
250,128000,14,-52.3521,-0.002248,0.001636,2.064738
251,128512,14,-52.3521,-0.002577,0.012384,2.121549
252,129024,14,-52.3521,-0.002166,0.000096,2.115613
253,129536,14,-52.3521,-0.001247,0.000066,2.087763
254,130048,14,-52.3521,-0.003800,0.027441,2.042371
255,130560,14,-52.3521,-0.005829,0.000152,2.063201
256,131072,14,-52.3521,-0.001224,0.014710,2.121904
257,131584,14,-52.3521,-0.000854,0.017989,2.084406
258,132096,14,-52.3521,-0.002318,0.002345,2.069806
259,132608,14,-52.3521,0.000042,0.003056,2.102652
260,133120,14,-52.3521,-0.001881,0.025203,2.058666
261,133632,14,-52.3521,-0.000837,3.262250,2.084101
262,134144,14,-52.3521,-0.002231,0.007003,2.021086
263,134656,14,-52.3521,-0.003409,0.041153,1.990850
264,135168,14,-52.3521,-0.002987,0.007379,2.057564
265,135680,14,-52.3521,-0.000790,0.001827,2.067779
266,136192,14,-52.3521,-0.001196,0.033417,2.049910
267,136704,14,-52.3521,-0.002907,0.003662,1.997939
268,137216,14,-52.3521,0.000068,3.323071,2.003769
269,137728,14,-52.3521,-0.000723,0.013124,2.081085
270,138240,14,-52.3521,-0.002783,0.035973,2.085693
271,138752,14,-52.3521,-0.002610,3.055507,2.098365
272,139264,15,-24.6273,-0.004425,0.091402,2.066955
273,139776,15,-24.6273,-0.008591,0.010588,1.973751
274,140288,15,-24.6273,-0.005372,0.051903,1.783431
